Source              TradingSymbol                                                                                        Strike       OptionType Open         High         Low          Close        LastPrice    Records    
------------------- ---------------------------------------------------------------------------------------------------- ------------ ---------- ------------ ------------ ------------ ------------ ------------ -----------

(0 rows affected)
Source          TradingSymbol                                                                                        Strike       OptionType Open         High         Low          Close        LastPrice    Records    
--------------- ---------------------------------------------------------------------------------------------------- ------------ ---------- ------------ ------------ ------------ ------------ ------------ -----------
ALL_SENSEX_DATA SENSEX25DEC78400PE                                                                                       78400.00 PE                  .00         3.65          .05       267.60       267.60           7
ALL_SENSEX_DATA SENSEX25DEC78500CE                                                                                       78500.00 CE                  .00      3900.00      1560.00      5203.50      5203.50           7
ALL_SENSEX_DATA SENSEX25DEC78500PE                                                                                       78500.00 PE                  .00          .70          .05       280.65       280.65           7
ALL_SENSEX_DATA SENSEX25DEC78600CE                                                                                       78600.00 CE                  .00          .00          .00      5118.25      5118.25           7
ALL_SENSEX_DATA SENSEX25DEC78600PE                                                                                       78600.00 PE                  .00          .00          .00       294.25       294.25           7
ALL_SENSEX_DATA SENSEX25DEC78700CE                                                                                       78700.00 CE                  .00          .00          .00      5033.50      5033.50           7
ALL_SENSEX_DATA SENSEX25DEC78700PE                                                                                       78700.00 PE                  .00          .00          .00       308.35       308.35           7
ALL_SENSEX_DATA SENSEX25DEC78800CE                                                                                       78800.00 CE                  .00          .00          .00      4949.30      4949.30           7
ALL_SENSEX_DATA SENSEX25DEC78800PE                                                                                       78800.00 PE                  .00          .00          .00       322.95       322.95           7
ALL_SENSEX_DATA SENSEX25DEC78900CE                                                                                       78900.00 CE                  .00          .00          .00      4865.65      4865.65           7
ALL_SENSEX_DATA SENSEX25DEC78900PE                                                                                       78900.00 PE                  .00          .00          .00       338.10       338.10           7
ALL_SENSEX_DATA SENSEX25DEC79000CE                                                                                       79000.00 CE                  .00          .00          .00      4782.55      4782.55           7
ALL_SENSEX_DATA SENSEX25DEC79000PE                                                                                       79000.00 PE                  .00          .00          .00       353.80       353.80           7
ALL_SENSEX_DATA SENSEX25DEC79100CE                                                                                       79100.00 CE                  .00          .00          .00      4700.00      4700.00           7
ALL_SENSEX_DATA SENSEX25DEC79100PE                                                                                       79100.00 PE                  .00          .00          .00       370.10       370.10           7
ALL_SENSEX_DATA SENSEX25DEC79200CE                                                                                       79200.00 CE                  .00          .00          .00      4618.00      4618.00           7
ALL_SENSEX_DATA SENSEX25DEC79200PE                                                                                       79200.00 PE                  .00          .00          .00       386.95       386.95           7
ALL_SENSEX_DATA SENSEX25DEC79300CE                                                                                       79300.00 CE                  .00          .00          .00      4536.60      4536.60           7
ALL_SENSEX_DATA SENSEX25DEC79300PE                                                                                       79300.00 PE                  .00         1.60          .05       404.35       404.35           7
ALL_SENSEX_DATA SENSEX25DEC79400CE                                                                                       79400.00 CE                  .00          .00          .00      4455.80      4455.80           7
